"","beeid","datetime","time","thoraxtemp","second","minute","start_time","elapse_sec","elapse_min"
"191","w11",2010-01-17 18:00:14,18:00:14,26.37,31,31s,64662,152,2.53333333333333
"192","w11",2010-01-17 18:00:43,18:00:43,27.2,29,29s,64662,181,3.01666666666667
"193","w11",2010-01-17 18:01:12,18:01:12,27.34,29,29s,64662,210,3.5
"194","w11",2010-01-17 18:01:44,18:01:44,28.55,32,32s,64662,242,4.03333333333333
"195","w11",2010-01-17 18:02:12,18:02:12,28.87,28,28s,64662,270,4.5
"196","w11",2010-01-17 18:02:43,18:02:43,30.55,31,31s,64662,301,5.01666666666667
"197","w11",2010-01-17 18:03:14,18:03:14,30.29,31,31s,64662,332,5.53333333333333
"198","w11",2010-01-17 18:03:42,18:03:42,30.83,28,28s,64662,360,6
"199","w11",2010-01-17 18:04:12,18:04:12,31.51,30,30s,64662,390,6.5
"200","w11",2010-01-17 18:04:43,18:04:43,32.09,31,31s,64662,421,7.01666666666667
"201","w11",2010-01-17 18:05:12,18:05:12,31.73,29,29s,64662,450,7.5
"202","w11",2010-01-17 18:05:42,18:05:42,31.92,30,30s,64662,480,8
"203","w11",2010-01-17 18:06:12,18:06:12,31.49,30,30s,64662,510,8.5
"204","w11",2010-01-17 18:06:42,18:06:42,32.6,30,30s,64662,540,9
"205","w11",2010-01-17 18:07:12,18:07:12,32.38,30,30s,64662,570,9.5
"206","w11",2010-01-17 18:07:44,18:07:44,32.62,32,32s,64662,602,10.0333333333333
"207","w12",2010-01-17 18:10:40,18:10:40,13.42,0,0s,65440,0,0
"208","w12",2010-01-17 18:11:11,18:11:11,17.79,31,31s,65440,31,0.516666666666667
"209","w12",2010-01-17 18:11:41,18:11:41,19.93,30,30s,65440,61,1.01666666666667
"210","w12",2010-01-17 18:12:11,18:12:11,21.52,30,30s,65440,91,1.51666666666667
"211","w12",2010-01-17 18:12:41,18:12:41,24.86,30,30s,65440,121,2.01666666666667
"212","w12",2010-01-17 18:13:10,18:13:10,25.57,29,29s,65440,150,2.5
"213","w12",2010-01-17 18:13:41,18:13:41,26.08,31,31s,65440,181,3.01666666666667
"214","w12",2010-01-17 18:14:11,18:14:11,26.86,30,30s,65440,211,3.51666666666667
"215","w12",2010-01-17 18:14:42,18:14:42,27.78,31,31s,65440,242,4.03333333333333
"216","w12",2010-01-17 18:15:10,18:15:10,27.87,28,28s,65440,270,4.5
"217","w12",2010-01-17 18:15:40,18:15:40,28.58,30,30s,65440,300,5
"218","w12",2010-01-17 18:16:11,18:16:11,29.69,31,31s,65440,331,5.51666666666667
"219","w12",2010-01-17 18:16:40,18:16:40,30.93,29,29s,65440,360,6
"220","w12",2010-01-17 18:17:10,18:17:10,33.08,30,30s,65440,390,6.5
"221","w12",2010-01-17 18:17:40,18:17:40,35.25,30,30s,65440,420,7
"222","w12",2010-01-17 18:18:11,18:18:11,37.17,31,31s,65440,451,7.51666666666667
"223","w12",2010-01-17 18:18:41,18:18:41,38.16,30,30s,65440,481,8.01666666666667
"224","w12",2010-01-17 18:19:12,18:19:12,38.49,31,31s,65440,512,8.53333333333333
"225","w12",2010-01-17 18:19:40,18:19:40,37.32,28,28s,65440,540,9
"226","w12",2010-01-17 18:20:10,18:20:10,37.06,30,30s,65440,570,9.5
"227","w12",2010-01-17 18:20:40,18:20:40,37.44,30,30s,65440,600,10
"228","w13",2010-01-18 17:24:30,17:24:30,13.49,0,0s,62670,0,0
"229","w13",2010-01-18 17:25:00,17:25:00,14.72,30,30s,62670,30,0.5
"230","w13",2010-01-18 17:25:30,17:25:30,17.03,30,30s,62670,60,1
"231","w13",2010-01-18 17:26:01,17:26:01,18.97,31,31s,62670,91,1.51666666666667
"232","w13",2010-01-18 17:26:30,17:26:30,22.54,29,29s,62670,120,2
"233","w13",2010-01-18 17:27:00,17:27:00,23.48,30,30s,62670,150,2.5
"234","w13",2010-01-18 17:27:31,17:27:31,24.02,31,31s,62670,181,3.01666666666667
"235","w13",2010-01-18 17:28:00,17:28:00,25.07,29,29s,62670,210,3.5
"236","w13",2010-01-18 17:28:31,17:28:31,26.45,31,31s,62670,241,4.01666666666667
"237","w13",2010-01-18 17:29:00,17:29:00,27.07,29,29s,62670,270,4.5
"238","w13",2010-01-18 17:29:30,17:29:30,27.97,30,30s,62670,300,5
"239","w13",2010-01-18 17:29:59,17:29:59,29.09,29,29s,62670,329,5.48333333333333
"240","w13",2010-01-18 17:30:34,17:30:34,30.63,35,35s,62670,364,6.06666666666667
"241","w13",2010-01-18 17:31:00,17:31:00,31.31,26,26s,62670,390,6.5
"242","w13",2010-01-18 17:31:31,17:31:31,35.08,31,31s,62670,421,7.01666666666667
"243","w13",2010-01-18 17:32:39,17:32:39,40.81,68,68s (~1.13 minutes),62670,489,8.15
"244","w13",2010-01-18 17:33:07,17:33:07,40.25,28,28s,62670,517,8.61666666666667
"245","w13",2010-01-18 17:33:30,17:33:30,41.22,23,23s,62670,540,9
"246","w13",2010-01-18 17:34:01,17:34:01,42.04,31,31s,62670,571,9.51666666666667
"247","w13",2010-01-18 17:34:30,17:34:30,41.59,29,29s,62670,600,10
"248","w14",2010-01-18 17:40:00,17:40:00,17.23,0,0s,63600,0,0
"249","w14",2010-01-18 17:40:34,17:40:34,20,34,34s,63600,34,0.566666666666667
"250","w14",2010-01-18 17:41:01,17:41:01,21.77,27,27s,63600,61,1.01666666666667
"251","w14",2010-01-18 17:41:31,17:41:31,23.85,30,30s,63600,91,1.51666666666667
"252","w14",2010-01-18 17:42:01,17:42:01,25.96,30,30s,63600,121,2.01666666666667
"253","w14",2010-01-18 17:42:31,17:42:31,26.42,30,30s,63600,151,2.51666666666667
"254","w14",2010-01-18 17:43:01,17:43:01,26.9,30,30s,63600,181,3.01666666666667
"255","w14",2010-01-18 17:43:31,17:43:31,27.62,30,30s,63600,211,3.51666666666667
"256","w14",2010-01-18 17:44:01,17:44:01,28.76,30,30s,63600,241,4.01666666666667
